category,URI,ID,URL
building,http://data.europeana.eu/item/91616/arme_photo_AMA0017504,/91616/arme_photo_AMA0017504,https://mm.dimu.org/image/0231wUTtSJfT?dimension=1200x1200
building,http://data.europeana.eu/item/91672/MM_foto_2391306,/91672/MM_foto_2391306,http://carlotta.malmo.se/carlotta-mmus/web/image/zoom/2391309/CM+005827.jpg
building,http://data.europeana.eu/item/2048421/item_764S572XKHF6LS7TWUT3GHJFG2AEM4C4,/2048421/item_764S572XKHF6LS7TWUT3GHJFG2AEM4C4,https://izw-medienarchiv.baw.de/api/v1/objects/uuid/948be250-f868-49dd-b243-1ddfe1cf6217/file/id/13607/file_version/name/original/disposition/inline
building,http://data.europeana.eu/item/154/S_JVM_photo_JvmKAGC00486,/154/S_JVM_photo_JvmKAGC00486,http://mm.dimu.org/image/0231xy7LCUAt?dimension=1200x1200
building,http://data.europeana.eu/item/916121/S_OLM_photo_OLM_1946_144,/916121/S_OLM_photo_OLM_1946_144,https://mm.dimu.org/image/022wYzhbhj1h?dimension=1200x1200
building,http://data.europeana.eu/item/91672/MM_foto_2212182,/91672/MM_foto_2212182,http://carlotta.malmo.se/carlotta-mmus/web/image/zoom/2212185/AM+001457.jpg
building,http://data.europeana.eu/item/2048421/item_LEYJOAVWF4QFZ5K66KTEOCW344KU63GB,/2048421/item_LEYJOAVWF4QFZ5K66KTEOCW344KU63GB,https://izw-medienarchiv.baw.de/api/v1/objects/uuid/c60a18ec-f5d6-4c4e-8ccd-b676e8c35552/file/id/16416/file_version/name/original/disposition/inline
building,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAE03716,/154/S_JVM_photo_JvmKDAE03716,http://mm.dimu.org/image/0231ywrm8gN4?dimension=1200x1200
building,http://data.europeana.eu/item/916123/SLM_item_406584,/916123/SLM_item_406584,https://sokisamlingar.sormlandsmuseum.se/files/original/26bae8665eb3172c913ed7cf5a859b71.jpg
building,http://data.europeana.eu/item/154/S_JVM_photo_JvmKAGB00254,/154/S_JVM_photo_JvmKAGB00254,http://mm.dimu.org/image/0331xy7JjqCQ?dimension=1200x1200
building,http://data.europeana.eu/item/916119/blm_item_85721,/916119/blm_item_85721,https://blm.kulturhotell.se/files/original/a530e069dbba2e3d49b88454a57211f6.jpg
building,http://data.europeana.eu/item/916118/S_TEK_photo_TEKA0018578,/916118/S_TEK_photo_TEKA0018578,https://mm.dimu.org/image/032ykVURmwbj?dimension=1200x1200
building,http://data.europeana.eu/item/154/S_JVM_photo_JvmKBDB12360,/154/S_JVM_photo_JvmKBDB12360,http://mm.dimu.org/image/0331yT6EUxbW?dimension=1200x1200
